transaction_id,scheme_name,unit_no,property_type,district,state,postcode,built_up_sqft,price_rm,transaction_date,source_batch
TX-2026-08-01827,Desa Warisan Murni Petaling,B-14-19,Teres 2 Tingkat,Petaling,Selangor,47567,2185,1275500,2026-08-29,B3
TX-2026-08-01380,Taman Seri Melati Hulu,D-03-15,Banglo,Hulu Langat,Selangor,43116,3317,1454500,2026-08-28,B3
TX-2026-08-02928,Desa Warisan Murni Petaling,E-01-06,Kondominium,Petaling,Selangor,46285,1032,808500,2026-08-10,B5
TX-2026-08-01662,Kondominium Kenanga Sari Sepang,D-12-12,Teres 2 Tingkat,Sepang,Selangor,63282,1620,607000,2026-08-23,B1
TX-2026-08-02249,Bandar Damai Indah Hulu,D-30-08,Banglo,Hulu Langat,Selangor,43104,3273,1543000,2026-08-23,B2
TX-2026-08-02953,Taman Bukit Harmoni Gombak,A-37-13,Banglo,DAERAH GOMBAK,Selangor,68085,4618,2750500,2026-08-15,B3
TX-2026-08-00869,Desa Warisan Murni Petaling,C-22-16,Teres 1 Tingkat,Petaling,Selangor,46774,1045,695000,2026-08-26,B3
TX-2026-08-01201,Residensi Damai Indah Sepang,E-18-18,Kondominium,Sepang,Selangor,63121,966,328500,2026-08-24,B2
TX-2026-08-00848,Bandar Anggerik Jaya Petaling,A-23-16,Berkembar 2 Tingkat,Petaling,Selangor,47346,2625,1215500,2026-08-18,B6
TX-2026-08-00874,Bandar Anggerik Jaya Hulu,B-36-16,Berkembar 2 Tingkat,Hulu Langat,Selangor,43486,2468,1191500,2026-08-28,B3
TX-2026-08-02161,Taman Tasik Permai Klang,C-18-16,Pangsapuri,Klang,Selangor,42137,933,325000,2026-08-25,B5
TX-2026-08-02120,Kondominium Impian Setia Petaling,D-17-06,Teres 2 Tingkat,Petaling,Selangor,47266,2235,1186500,2026-08-09,B4
TX-2026-08-01027,Desa Anggerik Jaya Sepang,E-15-10,Kondominium,Sepang,Selangor,63150,1210,323000,2026-08-08,B4
TX-2026-08-02189,Desa Mutiara Sentosa Klang,A-12-09,Teres 1 Tingkat,Klang,Selangor,41981,1186,434500,18/08/2026,B4
TX-2026-08-00760,Bandar Kenanga Sari Kuala,G-37-20,Pangsapuri,DAERAH KUALA LUMPUR,W.P. Kuala Lumpur,50693,587,464500,2026-08-19,B1
TX-2026-08-01618,Desa Kenanga Sari Hulu,F-18-12,Teres 2 Tingkat,Hulu Langat,Selangor,43416,1604,606500,2026-08-31,B5
TX-2026-08-00520,Kondominium Impian Setia Petaling,G-01-21,Berkembar 2 Tingkat,Petaling,Selangor,46346,2709,1717500,2026-08-06,B6
TX-2026-08-02752,Pangsapuri Suria Bayu Kuala,D-06-09,Teres 2 Tingkat,DAERAH KUALA LUMPUR,W.P. Kuala Lumpur,58208,2027,1888500,2026-08-26,B3
TX-2026-08-00846,Kondominium Putra Perdana Petaling,G-34-01,Teres 2 Tingkat,Petaling,Selangor,46719,2090,925500,2026-08-05,B4
TX-2026-08-01931,Desa Bukit Harmoni Petaling,F-20-19,Pangsapuri,DAERAH PETALING,Selangor,47732,838,354000,2026-08-16,B4
TX-2026-08-02850,Taman Bukit Harmoni Gombak,E-33-24,Teres 2 Tingkat,DAERAH GOMBAK,Selangor,68002,2378,685500,2026-08-01,B4
TX-2026-08-02497,Bandar Kenanga Sari Kuala,A-35-08,Teres 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,56088,1849,1319500,2026-08-29,B3
TX-2026-08-01272,Bandar Damai Indah Hulu,C-28-17,Banglo,Hulu Langat,Selangor,43011,5084,3037000,2026-08-28,B6
TX-2026-08-02898,Pangsapuri Cempaka Wangi Klang,B-10-04,Teres 1 Tingkat,Klang,Selangor,42083,1345,570500,2026-08-11,B3
TX-2026-08-02799,Taman Kenanga Sari Kuala,E-04-09,Pangsapuri,Kuala Lumpur,W.P. Kuala Lumpur,58860,705,561500,2026-08-30,B1
TX-2026-08-01532,Kondominium Damai Indah Petaling,B-32-13,Berkembar 2 Tingkat,Petaling,Selangor,47080,2466,1213000,2026-08-20,B2
TX-2026-08-01816,Bandar Anggerik Jaya Hulu,E-20-20,Teres 2 Tingkat,Hulu Langat,Selangor,43181,1677,482000,2026-08-26,B3
TX-2026-08-02869,Kondominium Impian Setia Petaling,F-01-14,Pangsapuri,Petaling,Selangor,47765,712,447500,2026-08-16,B4
TX-2026-08-02457,Desa Cempaka Wangi Gombak,E-16-05,Kondominium,Gombak,Selangor,68075,1151,376000,2026-08-20,B6
TX-2026-08-01474,Desa Warisan Murni Petaling,C-09-05,Pangsapuri,DAERAH PETALING,Selangor,47717,743,620000,2026-08-12,B3
TX-2026-08-00322,Residensi Putra Perdana Hulu,D-11-23,Teres 2 Tingkat,Hulu Selangor,Selangor,44064,1945,840500,2026-08-31,B2
TX-2026-08-02510,Desa Kenanga Sari Hulu,A-26-09,Berkembar 2 Tingkat,Hulu Langat,Selangor,43480,2494,1061000,2026-08-16,B2
TX-2026-08-02444,Taman Bukit Harmoni Klang,A-23-11,Banglo,DAERAH KLANG,Selangor,41707,2833,885000,2026-08-20,B4
TX-2026-08-00486,Taman Bukit Harmoni Sabak,F-25-05,Teres 1 Tingkat,Sabak Bernam,Selangor,45371,930,221000,2026-08-29,B6
TX-2026-08-01746,Desa Seri Melati Kuala,D-17-13,Teres 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,59916,1459,850000,2026-08-10,B2
TX-2026-08-00792,Bandar Anggerik Jaya Petaling,D-20-02,Berkembar 2 Tingkat,Petaling,Selangor,46983,2830,1466500,2026-08-30,B3
TX-2026-08-00574,Pangsapuri Suria Bayu Sepang,E-24-03,Teres 1 Tingkat,Sepang,Selangor,63044,970,377000,2026-08-29,B2
TX-2026-08-01508,Desa Seri Melati Kuala,C-06-01,Berkembar 2 Tingkat,Kuala Lumpur,W.P. Kuala Lumpur,55742,2351,1393000,2026-08-09,B6
